Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
UNP,LONG,2007-09-19,25.58,1494,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,24.70,-1315.95,-1315.95,[]
IWM,SHORT,2007-10-22,73.33,509,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-10-23,75.93,-1325.88,-1325.88,[]
FDX,SHORT,2007-11-19,91.97,401,No-Exit,0.0,0.0,2007-11-19,90.06,768.36,2007-11-26,89.96,807.21,768.36,[]
WHR,SHORT,2008-01-03,65.79,566,No-Exit,0.0,0.0,2008-01-04,64.12,943.27,2008-01-08,63.90,1072.07,943.27,['AAPL', 'GOOGL']
AAPL,SHORT,2008-01-07,24.17,1521,No-Exit,0.0,0.0,2008-01-07,23.90,411.51,2008-01-10,24.34,-258.57,411.51,['GOOGL']
GOOGL,SHORT,2008-01-07,326.97,63,No-Exit,0.0,0.0,2008-01-07,325.97,63.00,2008-01-10,326.91,3.78,63.00,[]
GILD,SHORT,2008-01-23,42.58,847,2008-01-23,42.93,-292.90,No-Exit,0.0,0.0,2008-01-24,45.35,-2342.07,-292.90,['CF']
CF,SHORT,2008-01-18,83.97,447,No-Exit,0.0,0.0,2008-01-22,82.09,842.36,2008-01-24,91.92,-3555.65,842.36,[]
UNP,LONG,2008-02-01,27.53,1284,No-Exit,0.0,0.0,2008-02-01,27.97,561.96,2008-02-05,26.84,-885.96,561.96,[]
WHR,SHORT,2008-03-06,70.13,496,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-07,71.43,-642.92,-642.92,['UNP', 'GOOGL']
UNP,SHORT,2008-03-07,26.39,1306,No-Exit,0.0,0.0,2008-03-07,25.95,571.59,2008-03-11,27.12,-951.74,571.59,['GOOGL']
GOOGL,SHORT,2008-03-04,225.47,154,No-Exit,0.0,0.0,2008-03-04,224.47,154.00,2008-03-12,220.23,807.73,154.00,[]
CVS,SHORT,2008-03-17,34.55,998,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-19,36.37,-1814.65,-1814.65,[]
GOOGL,LONG,2008-04-02,234.95,90,No-Exit,0.0,0.0,2008-04-02,235.95,90.00,2008-04-03,228.36,-593.10,90.00,['GILD', 'VIAB']
GILD,LONG,2008-04-01,51.21,664,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-07,51.26,32.68,32.68,['CF', 'VIAB']
VIAB,LONG,2008-04-02,37.92,334,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-10,37.24,-227.12,-227.12,['CF']
CF,LONG,2008-04-07,121.35,133,No-Exit,0.0,0.0,2008-04-07,123.24,250.83,2008-04-18,141.45,2673.07,250.83,['NFLX']
AMZN,LONG,2008-04-21,81.25,298,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,77.65,-1072.80,-1072.80,['NFLX']
NFLX,LONG,2008-04-17,39.31,702,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,33.69,-3945.24,-3945.24,[]
FDX,LONG,2008-05-02,95.21,345,2008-05-02,92.76,-846.60,No-Exit,0.0,0.0,2008-05-05,92.14,-1059.96,-846.60,[]
CP,SHORT,2008-06-03,63.74,509,No-Exit,0.0,0.0,2008-06-06,61.92,928.88,2008-06-16,59.30,2259.96,928.88,[]
GD,SHORT,2008-07-08,68.98,482,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-07-09,71.20,-1070.56,-1070.56,[]
GOOGL,SHORT,2008-07-21,239.00,137,No-Exit,0.0,0.0,2008-07-21,238.00,137.00,2008-07-23,245.04,-827.48,137.00,[]
GD,LONG,2008-07-24,76.01,428,2008-07-24,73.35,-1138.48,No-Exit,0.0,0.0,2008-08-01,75.36,-278.20,-1138.48,['UNP']
UNP,LONG,2008-07-24,34.54,571,No-Exit,0.0,0.0,2008-07-29,35.42,503.05,2008-08-07,35.72,676.60,503.05,[]
AAPL,LONG,2008-08-13,24.11,1358,No-Exit,0.0,0.0,2008-08-14,24.38,367.41,2008-08-18,23.62,-665.42,367.41,[]
UNP,LONG,2008-08-29,37.23,872,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-02,36.28,-828.40,-828.40,[]
AAPL,SHORT,2008-09-05,21.45,1480,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-08,22.26,-1197.26,-1197.26,[]
IWM,SHORT,2008-09-16,63.30,495,2008-09-16,66.06,-1365.61,No-Exit,0.0,0.0,2008-09-18,66.57,-1618.06,-1365.61,[]
UNP,LONG-SPY-NULL,2008-10-31,28.94,1074,2008-10-31,28.13,-874.68,2008-10-31,29.82,949.30,2008-11-03,28.58,-386.64,0.0,[]
CP,LONG,2008-11-04,42.31,731,No-Exit,0.0,0.0,2008-11-04,44.15,1344.81,2008-11-05,41.66,-475.15,1344.81,[]
AAPL,LONG,2008-12-09,13.59,2264,No-Exit,0.0,0.0,2008-12-09,13.86,612.54,2008-12-10,13.08,-1154.64,612.54,[]
GD,LONG,2008-12-17,48.33,628,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-19,47.39,-593.43,-593.43,['CP']
CP,LONG,2008-12-17,32.49,560,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-19,30.53,-1097.90,-1097.90,[]
IWM,SHORT,2009-01-15,42.03,706,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-01-16,43.95,-1353.59,-1353.59,['UNP', 'MA']
UNP,SHORT,2009-01-15,18.21,978,No-Exit,0.0,0.0,2009-01-15,17.32,869.05,2009-01-22,19.34,-1105.14,869.05,['MA']
MA,SHORT,2009-01-16,12.59,2067,No-Exit,0.0,0.0,2009-01-16,12.39,405.56,2009-01-28,13.01,-868.14,405.56,[]
AMZN,LONG,2009-02-02,59.48,478,No-Exit,0.0,0.0,2009-02-02,61.48,956.00,2009-02-11,63.01,1687.34,956.00,[]
UNP,SHORT,2009-02-20,17.21,1689,2009-02-20,17.86,-1097.85,No-Exit,0.0,0.0,2009-02-23,17.92,-1204.36,-1097.85,[]
GILD,SHORT,2009-02-27,45.42,619,No-Exit,0.0,0.0,2009-03-02,43.45,1222.50,2009-03-09,43.63,1110.57,1222.50,[]
AMZN,LONG,2009-03-12,69.57,417,No-Exit,0.0,0.0,2009-03-17,71.57,834.00,2009-03-20,69.80,95.91,834.00,['AAPL']
AAPL,LONG,2009-03-18,13.52,1333,No-Exit,0.0,0.0,2009-03-18,13.79,360.65,2009-03-30,14.14,829.49,360.65,['UNP']
UNP,LONG,2009-03-24,18.91,1175,No-Exit,0.0,0.0,2009-03-26,19.80,1051.38,2009-03-31,18.26,-763.75,1051.38,[]
GILD,LONG,2009-04-06,47.27,615,2009-04-06,46.28,-606.85,No-Exit,0.0,0.0,2009-04-07,47.08,-114.94,-606.85,[]
NFLX,LONG,2009-04-13,47.19,615,No-Exit,0.0,0.0,2009-04-13,49.19,1230.00,2009-04-15,47.30,67.65,1230.00,[]
NFLX,SHORT,2009-05-07,42.17,689,No-Exit,0.0,0.0,2009-05-07,40.17,1378.00,2009-05-12,39.77,1653.60,1378.00,[]
AMZN,SHORT,2009-05-14,73.79,402,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-05-19,76.85,-1230.12,-1230.12,[]
AMZN,LONG,2009-06-02,85.00,344,No-Exit,0.0,0.0,2009-06-05,87.00,688.00,2009-06-11,86.29,443.76,688.00,[]
MA,LONG,2009-07-16,16.99,1731,No-Exit,0.0,0.0,2009-07-16,17.19,340.26,2009-07-22,17.59,1044.88,340.26,[]
GD,LONG,2009-08-03,48.70,612,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-08-05,48.48,-134.64,-134.64,[]
UNP,LONG,2009-09-08,28.36,1051,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-09-16,28.31,-55.51,-55.51,[]
FDX,LONG,2009-10-15,78.26,379,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-22,77.01,-473.75,-473.75,[]
FDX,SHORT,2009-11-02,70.11,421,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-11-04,73.25,-1322.14,-1322.14,[]
AAPL,SHORT,2009-12-07,25.92,1120,No-Exit,0.0,0.0,2009-12-07,25.65,303.02,2009-12-09,26.58,-739.20,303.02,[]
UNP,LONG,2009-12-24,30.01,958,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-12-30,29.65,-342.23,-342.23,['AAPL']
AAPL,LONG,2009-12-28,28.64,629,No-Exit,0.0,0.0,2009-12-28,28.91,170.18,2010-01-06,28.92,175.56,170.18,[]
NFLX,LONG,2010-01-29,63.65,442,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-01,61.09,-1131.52,-1131.52,['WHR']
WHR,SHORT,2010-01-22,69.51,413,No-Exit,0.0,0.0,2010-01-26,67.73,737.09,2010-02-02,73.04,-1457.89,737.09,[]
GILD,LONG,2010-02-18,48.58,570,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-22,47.94,-363.54,-363.54,['GD']
GD,LONG,2010-02-19,63.63,270,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-25,63.03,-162.00,-162.00,[]
MA,LONG,2010-03-08,23.62,1165,No-Exit,0.0,0.0,2010-03-08,23.82,229.30,2010-03-16,24.55,1083.45,229.30,[]
AAPL,LONG,2010-04-22,35.16,794,2010-04-22,34.84,-254.08,2010-04-22,35.43,214.82,2010-04-27,36.16,790.46,-254.08,[]
CP,SHORT,2010-05-06,51.72,522,No-Exit,0.0,0.0,2010-05-06,49.85,976.25,2010-05-10,53.39,-871.74,976.25,['GD', 'AMZN', 'IWM']
