Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,213.129978,213.349997,210.559999,210.73003,88102700,28.27795
2009-12-30,208.830027,211.999966,208.309988,211.640024,103021100,28.400063
2009-12-29,212.629967,212.719995,208.729984,209.100006,111301400,28.059217
2009-12-28,211.719973,213.950024,209.610031,211.609997,161141400,28.396033
2009-12-24,203.549986,209.349985,203.349995,209.040018,125222300,28.051167
2009-12-23,201.200026,202.380013,200.809977,202.100006,86381400,27.119884
2009-12-22,199.440012,200.850018,198.659994,200.36002,87378900,26.886394
2009-12-21,196.049974,199.749966,195.670019,198.229984,152976600,26.600564
2009-12-18,193.169975,195.499989,192.600029,195.429987,152192600,26.224831
2009-12-17,194.260014,194.999977,190.999966,191.859985,97209700,25.745771
2009-12-16,195.100006,196.500011,194.55002,195.030005,88246200,26.171157
2009-12-15,195.829969,197.509968,193.270004,194.169985,104864900,26.055751
2009-12-14,195.369999,197.430033,192.559988,196.979996,123947600,26.432827
2009-12-11,197.780027,197.999966,193.430021,194.669996,107443700,26.122848
2009-12-10,199.50,199.699991,196.119976,196.43001,122417400,26.359024
2009-12-09,191.279972,198.159996,190.309977,197.799974,171195500,26.542861
2009-12-08,189.360008,192.349997,188.69998,189.870033,172599700,25.478738
2009-12-07,193.319979,193.770016,188.680033,188.950026,178689700,25.355282
2009-12-04,199.699991,199.880035,190.280016,193.319979,206721200,25.941688
2009-12-03,197.420019,198.979975,196.269993,196.479984,112179900,26.365731
2009-12-02,198.960014,201.420031,195.750034,196.230019,178815000,26.332188
2009-12-01,202.240009,202.769981,196.829992,196.969995,116440800,26.431485
2009-11-30,201.109997,201.68001,198.76997,199.909996,106214500,26.826005
2009-11-27,199.219994,202.960026,198.369987,200.589972,73814300,26.917251
2009-11-25,205.400015,205.649994,203.759991,204.190001,71613500,27.400341
2009-11-24,205.330027,205.880013,202.899971,204.439966,79609600,27.433884
2009-11-23,203.00,205.999989,202.950026,205.880013,118724200,27.627124
2009-11-20,199.150005,200.38998,197.760014,199.919996,101666600,26.827347
2009-11-19,204.609997,204.609997,199.80002,200.510036,135581600,26.906525
2009-11-18,206.539974,207.000011,204.000023,205.960014,93580200,27.63786
2009-11-17,206.080004,207.440035,204.999966,207.000011,99128400,27.777417
2009-11-16,205.48003,208.000034,205.009979,206.62999,121301600,27.727764
2009-11-13,202.87001,204.830015,202.069979,204.44998,85810200,27.435228
2009-11-12,203.140003,204.869976,201.429964,201.989964,90932800,27.105117
2009-11-11,204.560022,204.999966,201.830027,203.249966,110967500,27.274197
2009-11-10,201.019981,204.980019,201.009968,202.979986,100298800,27.237969
2009-11-09,196.940035,201.900015,196.259979,201.460005,132213900,27.034002
2009-11-06,192.510014,195.190035,192.399971,194.340015,73774400,26.078567
2009-11-05,192.399971,194.999977,191.820024,194.029995,96200300,26.036965
2009-11-04,190.729986,193.850018,190.229975,190.809988,121882600,25.604871
2009-11-03,187.849974,189.520025,185.919996,188.750034,130635400,25.328445
2009-11-02,189.800032,192.880035,185.570002,189.310034,169745800,25.403592
2009-10-30,196.059988,196.800032,188.170008,188.499989,179381300,25.294892
2009-10-29,194.999977,196.809965,192.139992,196.349995,142567600,26.348287
2009-10-28,197.710026,198.019993,191.099995,192.399971,204596700,25.818232
2009-10-27,201.659996,202.810022,196.450024,197.369965,189137900,26.485157
2009-10-26,203.669975,206.749966,200.099974,202.479975,121084600,27.170872
2009-10-23,205.699968,205.799997,203.230019,203.940035,105196700,27.366798
2009-10-22,204.700026,207.850018,202.510002,205.200024,197848000,27.535876
2009-10-21,199.520014,208.70997,199.230007,204.920031,298431700,27.498304
2009-10-20,200.599985,201.750011,197.850029,198.760036,285259800,26.671692
2009-10-19,187.849974,190.000023,185.549974,189.86002,235557700,25.477395
2009-10-16,189.349995,190.360031,187.840027,188.050032,107856700,25.234512
2009-10-15,189.630001,190.920031,189.529972,190.560022,93389100,25.571328
2009-10-14,192.250034,192.320036,190.229975,191.289986,93877700,25.669282
2009-10-13,190.630024,191.169996,189.700003,190.01997,87005100,25.498859
2009-10-12,191.019993,191.509991,189.640015,190.809988,72006200,25.604871
2009-10-09,188.969973,190.700026,188.619965,190.469994,73318000,25.559247
2009-10-08,190.659985,191.450003,188.890024,189.269993,109552800,25.398219
